"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.010G264400",160.510668793992,0.314982038457865,0.274674559499949,1.14674631327814,0.251486483399878,0.701181717271774
"Sobic.004G321900",879.333482505524,0.189572044850787,0.165344881897017,1.14652502500113,0.251577978758128,0.701301014164477
"Sobic.001G062900",9.2525537416845,-0.795599342618326,0.694269801276514,-1.14595124425044,0.251815326202344,0.701826764742809
"Sobic.001G433800",2049.11388399299,-0.187801659946505,0.163944212067976,-1.14552174534004,0.251993092863249,0.701884714081816
"Sobic.003G291300",46.2419400341708,0.378155478013853,0.330176771525611,1.14531218009841,0.252079862238996,0.701884714081816
"Sobic.007G193200",111.465372509077,0.309203285863919,0.269939047099476,1.14545594342998,0.252020335551589,0.701884714081816
"Sobic.009G153400",6.78044070451655,-0.980315076917837,0.855917164961268,-1.14533872791557,0.252068869104102,0.701884714081816
"Sobic.010G211500",254.52378999277,-0.243838957803192,0.212882297086085,-1.14541679200591,0.252036545630561,0.701884714081816
"Sobic.001G017100",587.937399397195,0.269097180539651,0.23503735124837,1.14491241119923,0.252245442194455,0.701938515020442
"Sobic.001G530500",108.62458676128,0.294715523816188,0.257389625956313,1.14501710285018,0.252202072718608,0.701938515020442
"Sobic.004G207700",69.819599648347,-0.410642711789966,0.358594361078187,-1.14514548013327,0.25214889834835,0.701938515020442
"Sobic.009G145000",9.01411011869816,-0.893805085399874,0.78085197366061,-1.14465368027405,0.252352646151432,0.702101139959096
"Sobic.003G269100",18.1443241351709,0.638149214224125,0.557626389837984,1.14440282212887,0.252456618377869,0.702142141129859
"Sobic.005G177900",11.4663840453634,-0.806603557175353,0.704837187330855,-1.1443828045309,0.252464916282073,0.702142141129859
"Sobic.001G415500",129.291019145966,-0.280999247492775,0.245631449382093,-1.14398725488797,0.252628922650181,0.702191356818012
"Sobic.002G194400",23.5399384303739,0.483008692183913,0.422179438807793,1.14408388420786,0.252588850476554,0.702191356818012
"Sobic.004G198800",21.1516137431161,-0.525254411841512,0.459124833528694,-1.14403398266342,0.252609544091142,0.702191356818012
"Sobic.001G466700",246.422528548842,-0.247009194737851,0.215947424506297,-1.14383950307612,0.252690203883887,0.702226125365799
"Sobic.003G338000",32.3301939048108,0.439513700539384,0.384357115127409,1.14350348475711,0.252829608705371,0.702477944064054
"Sobic.001G067900",257.422437563777,0.248387263767533,0.217307533668222,1.14302187123785,0.253029510424226,0.702585814256225
"Sobic.005G024400",12.4696794323975,0.692470535746864,0.605867945067334,1.14293971381817,0.253063622220641,0.702585814256225
"Sobic.010G171900",47.618249525109,-0.54644458965279,0.47803000111072,-1.14311777165263,0.25298969658201,0.702585814256225
"Sobic.010G185600",262.367696569114,0.244577375227083,0.213985282261927,1.14296353768719,0.253053730210094,0.702585814256225
"Sobic.004G210200",35.702396797315,-0.654097267691571,0.572619994189349,-1.14228855843144,0.253334095530494,0.702659277104228
"Sobic.004G223000",446.647613791918,-0.278590678915621,0.243887347404588,-1.14229246363266,0.253332472809846,0.702659277104228
"Sobic.006G265800",133.1989934551,-0.302748408958619,0.265009045898805,-1.14240782963396,0.253284538265862,0.702659277104228
"Sobic.009G207300",20.5278758176838,-0.608461025965534,0.532572878057076,-1.14249345213619,0.253248966222193,0.702659277104228
